night,title,author,index_code
137,耽美小説・ゲイ文学ブックガイド,柿瑛子・栗原知代 編著,5
138,文体練習,レイモン・クノー,8
139,瓢鮎図,島尾新,5
140,かたちと力,ルネ・ユイグ,2
141,中空構造日本の深層,河合隼雄,6
142,フェリーニ・オン・フェリーニ,コスタンツォ・コスタンティーニ編,5
143,死者の書,折口信夫,5
144,日本のマッチラベル,三好一,7
145,マダム・エドワルダ,ジョルジュ・バタイユ,5
146,椅子がこわい,夏樹静子,2
147,トナカイ月,エリザベス・Ｍ・トーマス,5
148,ちょっとピンぼけ,ロバート・キャパ,5
149,デジタル日本人,高城剛,1
150,大手拓次詩集,大手拓次,5
151,経済の文明史,カール・ポランニー,4
152,やくざと日本人,猪野健治,7
153,ブリキの太鼓,ギュンター・グラス,5
154,父の帽子,森茉莉,7
155,ジーキル博士とハイド氏,ロバート・スティーブンソン,5
156,本覚坊遺文,井上靖,5
157,マッハ力学,エルンスト・マッハ,1
158,和漢朗詠集,藤原公任撰,5
159,こどもたちに語るポストモダン,ジャン=フランソワ・リオタール,3
160,印度放浪,藤原新也,5
161,ロリータ,ウラジミール・ナボコフ,5
162,折りたく柴の記,新井白石,6
163,死の蔵書,ジョン・ダニング,8
164,基本手筋事典,藤沢秀行,8
165,絶望の精神史,金子光晴,6
166,マイケル・ジョーダン物語,ボブ・グリーン,7
167,銀河の世界,エドウィン・ハッブル,1
168,機械と神,リン・ホワイト,1
169,吉原御免状,隆慶一郎,5
170,芸談あばらかべっそん,桂文楽,5
171,牧野植物図鑑の謎,俵浩三,2
172,鏡の背面,コンラッド・ローレンツ,2
173,月島物語,四方田犬彦,7
174,クムラン,エリエット・アベカシス,6
175,実験医学序説,クロード・ベルナール,2
176,ボクはこんなことを考えている,大槻ケンヂ,7
177,ラスト・オブ・イングランド,デレク・ジャーマン,5
178,シャボテン幻想,龍膽寺雄,2
179,スイミー,レオ・レオーニ,5
180,百科全書,ディドロ＆ダランベール,3
181,マリコ,柳田邦男,5
182,三分間の詐欺師,佐々木徹雄,7
183,教説と手紙,エピクロス,3
184,ニッポンマンガ論,フレデリック・ショット,5
185,神秘学序説,高橋巌,3
186,ゼッフィレッリ自伝,フランコ・ゼッフィレッリ,5
187,夢中問答集,夢窓疎石,3
188,中国の赤い星,エドガー・スノー,6
189,少女時代,フランソワーズ・ドルト,2
190,ウェブ・ユーザビリティ,ヤコブ・ニールセン,1
191,コルシア書店の仲間たち,須賀敦子,8
192,ホーキング、宇宙を語る,スティーブン・ホーキング,1
193,平田俊子詩集,平田俊子,5
194,伊藤晴雨自画自伝,伊藤晴雨,5
195,ペンギン大百科,トニー・ウィリアムズほか,2
196,夜明け前,島崎藤村,5
197,魔女の１ダース,米原万里,8
198,見仏記,いとうせいこう・みうらじゅん,7
199,大衆の反逆,オルテガ・イ・ガセット,3
200,生命の塵,クリスチャン・ド・デューブ,2
201,Ｊ－ＰＯＰ進化論,佐藤良明,7
202,ゲバラ日記,エルネスト・チェ・ゲバラ,7
203,後鳥羽院,保田與重郎,6
204,カリカチュアの歴史,トーマス・ライト,5
205,中国の漢字問題,蘇培成・尹文武傭編,8
206,浮雲,二葉亭四迷,5
207,意識の中心,ジョン・Ｃ・リリー,3
208,駄菓子屋図鑑,奥成達,7
209,パンダの親指,スティーブン・ジェイ・グールド,2
210,美術建築師・菅原栄蔵,菅原定三,5
211,ホメオスタシスの謎,加藤勝,2
212,シェイクスピア・アンド・カンパニイ書店,シルヴィア・ビーチ,8
213,かくれた次元,エドワード・ホール,8
214,犬と私,江藤淳,2
215,日本の伝統,岡本太郎,5
216,ロックの伝導者,ミュージック・ライフ編,7
217,胎児の世界,三木成夫,2
218,２４人のビリー・ミリガン,ダニエル・キイス,2
219,英単語記憶術,岩田一男,8
220,部分と全体,ウェルナー・ハイゼンベルク,1
221,美しき日本の残像,アレックス・カー,7
222,イエズス会,フィリップ・レクリヴァン,6
223,日々の絶筆,井上有一,5
224,ジプシー,ジュール・ブロック,6
225,日本文明と近代西洋,川勝平太,7
226,死都ブリュージュ,ジョルジュ・ローデンバッハ,5
227,アウトブリード,保坂和志,8
228,まねる,川瀬武彦,1
229,ブルネッレスキ,ジュリオ・カルロ・アルガン,5
230,エスケープ・ヴェロシティ,マーク・デリー,1
231,あの人この人,戸板康二,5
232,カンタベリ物語,ジェフレイ・チョーサー,8
